default branch,"デフォルトの枝(指定なしで最新と判断されるリビジョン)[rcsdiff.1,rcs.1,co.1]"
defect list,ディフェクトリスト[camcontrol.8]
defined type,データ型定義[POSIX]
delay,遅延[gettytab.5]
deliver (a signal),(シグナルを)配送する[POSIX]
descriptor,記述子[POSIX]
designation,指示[POSIX]
detection,検出[POSIX]
device,デバイス(/dev 下のデバイスファイル関連のもの)
device special file,デバイス型特殊ファイル
directory,ディレクトリ[POSIX]
directory entry,ディレクトリエントリ[POSIX]
directory stream,ディレクトリストリーム[POSIX]
directive,"ディレクティブ(命令、指令の類)[C,stab.5]"
discard,破棄する[POSIX]
display,描画する[termcap.5]
dot,ドット[POSIX]
dot-dot,ドットドット[POSIX]
duplicate,複製する[POSIX]
east of Prime Meridian,東半球[POSIX]
effective group ID,実効グループ ID[POSIX]
effective user ID,実効ユーザ ID
elapsed real time,経過した実時間[POSIX]
empty directory,空きディレクトリ[POSIX]
empty name,空の名前[POSIX]
empty pipe,空パイプ[POSIX]
empty set,空集合[POSIX]
empty string,空の文字列[POSIX]
encoding,"エンコーディング,エンコード[方式|方法](POSIX では「表現形式」だが)"
end of file indication,ファイル終了表示[POSIX]
end-of-archive indicator,アーカイブファイル終了表示子[POSIX]
end-of-file,ファイルの終わり[POSIX]
end-of-media,媒体の終わり[POSIX]
entry,エントリ(エントリーでなく)[kana]
entry,エントリ[POSIX]
environment,環境[POSIX]
environment list,環境並び[POSIX]
environment string,環境文字列[POSIX]
environment variable,環境変数[POSIX]
erase,文字消去[gettytab.5]
error,エラー ([POSIX]では「誤り」)
error code,エラーコード([POSIX]では「誤りコード」)
error condition(s),エラー状態 ([POSIX]では「誤り状態」)
establish connection,結び付ける[POSIX]
evaluate,評価する[POSIX]
exclusive lock,排他的ロック[POSIX]
exec family of function,関数群[POSIX]
executable file,実行可能ファイル[POSIX]
execute,実行する(動詞)[POSIX]
execute,実行する[POSIX]
execution,実行[POSIX]
execution permission,実行許可[POSIX]
existing system,既存のシステム[POSIX]
expire,期限切れ[POSIX]
export,エクスポート(エキスポートより)[kana]
extention,拡張[POSIX]
external identifier,外部識別子[POSIX]
external variable,外部変数[POSIX]
facility,"ファシリティ(初出で「ファシリティ(機能分類)」)(syslog の機能分類の単位)[ftpd.8,pppd.8,syslog.1]"
family,ファミリ(ファミリーでなく)[kana]
feature,機能[POSIX](文脈により変えてOK)
feature test macro,機能試験マクロ[POSIX]
field,フィールド[POSIX]
file access mode,ファイルのアクセスモード[POSIX]
file characteristic,ファイルの属性[POSIX]
file characteristic(s) structure,ファイルの属性構造体[POSIX]
file creation mask,ファイル生成マスク[POSIX]
file description,ファイル記述[POSIX]
file descriptor,ファイル記述子[POSIX]
file group class,ファイルグループクラス[POSIX]
file hierarchy,ファイル階層[POSIX]
file lock,ファイルロック[POSIX]
file mode,ファイルモード[POSIX]
file mode creation mask,ファイルモード生成マスク[POSIX]
file name,ファイル名[POSIX]
file offset,ファイルオフセット[POSIX]
file other class,ファイル他者クラス[POSIX]
file owner class,ファイル所有者クラス[POSIX]
file permission bit(s),ファイル許可ビット[POSIX]
file removal,ファイルの削除[POSIX]
file resource,ファイルリソース[PostScript]
file serial number,ファイル通し番号[POSIX]
file status,ファイル状態[POSIX]
file status flag,ファイル状態フラグ[POSIX]
file system,ファイルシステム[POSIX]
file type,ファイルの型[POSIX]
filter,フィルタ(フィルターでなく)[kana]
first-in-first-out,先入れ先出し[POSIX]
flag,フラグ[POSIX]
flow control function,フロー制御機能[POSIX]
flush,フラッシュする(ファイルを)
font position,"フォント位置[troff.1,groff_font.5]"
font resource,フォントリソース[PostScript]
foreground,表[POSIX]
foreground color,前景色[termcap.5]
foreground process,表プロセス[POSIX]
foreground process group,表プロセスグループ[POSIX]
foreground process group ID,表プロセスグループ ID[POSIX]
format,形式[POSIX]
frame,フレーム[POSIX]
framing error,フレーミングエラー([POSIX]では「フレーム誤り」)
full-duplex,全二重[POSIX]
fully-qualified-host-name,完全な形でのホスト名[ethers.5]
fully-qualified-domain-name,完全な形でのドメイン名[rc.conf.5]
function,関数(プログラム中の値を返すプログラム副単位)[gctags.1]
function,機能(一般的概念)
function prototype,関数プロトタイプ[C]
functionality,機能[POSIX]
gain access,アクセス権を得る[POSIX]
general utilities,一般ユーティリティ[POSIX]
generic xxx driver,汎用 xxx ドライバ
group ID,グループ ID[POSIX]
hardware,ハードウェア[POSIX]
hardware type,ハードウェアタイプ[POSIX]
header,"ヘッダ(ヘッダーでなく)[kana,POSIX]"
header <XXX.h>,ヘッダ <XXX.h>[POSIX]
history,"(CVS の) ヒストリ [cvs.1,cvs.5]"
home など,"ホーム(ホームポジション),home(home キー)[termcap.5]"
hung up,(回線)切断[POSIX]
ignore (a signal),(シグナルを)無視する[POSIX]
implement,実装する[POSIX]
implementation,実装[POSIX]
implementation defined,実装者定義[POSIX]
implementation does,実装者が...する[POSIX]
imposed,課す[POSIX]
include,取り込む(目的語がヘッダのとき)[POSIX]
inclusive OR,OR[POSIX]
indeterminate,不定[POSIX]
index,インデックス(インデクスでなく)[kana]
indication,表示[POSIX訳は「表示」だが、general扱い]
initialize,初期化する[POSIX]
inode,inode
input and output baud rates,入出力ボーレート
input baud rate,入力ボーレート[POSIX]
input rate,入力速度[POSIX]
instance,"一例[general],インスタンス[?!]"
integral expression,汎整数式[POSIX]
interbyte timer,バイト間タイマ[POSIX]
interchange,交換[POSIX]
interchange format,交換形式[POSIX]
interface,"インタフェース(インターフェース,インターフェイスでなく)[POSIX,kana]"
internet,インターネット(長音例外:インタネットでない)[kana]
interpreter,インタプリタ(インタープリタより)[kana]
interprocess signal,プロセス間シグナル[POSIX]
interrupt,割り込み
invalid,"正当でない,不正な[general]"
job,ジョブ[POSIX]
job control,ジョブ制御[POSIX]
key value,キーの値[POSIX]
kill,行削除[gettytab.5]
letter,レター
lifetime,生存期間[POSIX]
limit,"限界[POSIX],タイムリミット,ハードリミット,ソフトリミットはOK"
line,回線(端末回線のこと)[ttys.5]
line control function,回線制御関数[POSIX]
link,リンク[POSIX]
link count,リンク数[POSIX]
linked-to name,リンクされた名前[POSIX]
list,"並び,リスト[general]"
local system,"ローカルシステム,局所システム[general]"
local time,地域時間[POSIX]
locale,ロケール[POSIX]
locale category,ロケールカテゴリ[POSIX]
log in to,ログインする[POSIX]
login,ログイン[POSIX]
login name,ログイン名[POSIX]
low-order,下位[POSIX]
lowercase leters,小文字[POSIX]
machine unit,"マシン単位[pic.1,groff_font.5,groff_out.5]"
macro,マクロ[POSIX]
magic byte,マジックバイト[POSIX]
manipuration,操作[POSIX]
map,マップする[general]
mapper,マッパ(マッパーでなく)[kana]
mark for update,更新用の印を付ける[POSIX]
mask name,マスク名[POSIX]
master,マスタ(マスターでなく)[kana]
match,"一致,マッチ[general]"
matching,"一致している,マッチング[general]"
mechanism,機構[POSIX]
member,"メンバ(メンバーでなく)[POSIX,kana]"
member type,メンバ型[POSIX]
memory management,メモリ管理[POSIX]
meta syntax,メタ文法[rcsfile.5]
mode,モード[POSIX]
modem control lines,モデム制御線[POSIX]
modification time,更新時刻[POSIX]
modifier,修飾子[POSIX]
mount,マウント[groff_font.5]
mount point,マウントポイント
name space,名前空間[POSIX]
named directory,指定されたディレクトリ[POSIX]
named file,指定されたファイル[POSIX]
namespace,名前空間[devfs.5]
network number,ネットワーク番号 [man-jp 1326]
newsgroup,"ニュースグループ [limits.1,patch.1,init.8 のニュース]"
node,ノード[POSIX] (see also inode; vnode)
non-NULL pointer,非NULLポインタ[POSIX]
non-canonical mode,非標準モード[POSIX]
non-local jumps,非局所分岐[POSIX]
nonblocking,非ブロッキング[POSIX]
nonblocking read,非ブロッキング読取り[POSIX]
nonblocking write,非ブロッキング書込み[POSIX]
nonstandard extension,非標準拡張[POSIX]
normal termination,正常終了[POSIX]
NOTE,注 (notice の意の場合があるため[man-jp 1672])
null,ヌル[C]
null character,ヌル文字[POSIX] (以前「ナル文字」としていたが変更)
null terminated string,ヌル文字で終了する文字列[POSIX]
number,"番号(RCSのリビジョン番号1.1, 1.2.2.1等を意味する時)[rcsfile.5]"
numeric value,数値[POSIX]
object,オブジェクト[POSIX]
obsolescent,"廃要素,廃れかけている[general]"
obsolate,"廃止される予定の,先き行きのない[general]"
offset,オフセット[POSIX]
open,オープンする[POSIX]
open directory stream,オープンディレクトリストリーム[POSIX]
open file,オープンファイル[POSIX]
open file description,オープンファイル記述[POSIX]
open file descriptor,オープンファイル記述子[POSIX]
open system,オープンシステム(POSIX では「開放型システム」だが:-)
operating system,オペレーティングシステム[POSIX]
operation,操作[POSIX]
option,オプション
order,オーダ(オーダーでなく)[kana]
ordered sequence,順序付けられた列[POSIX]
orphaned,"親のない[POSIX](""孤児""よりはいいよね)"
orphaned process group,親のないプロセスグループ[POSIX]
other ID,他者 ID[POSIX]
other,他者[POSIX]
output rate,出力速度[POSIX]
output stream,出力ストリーム[POSIX]
over,オーバ(オーバーでなく)[kana]
overflow,(数字の場合)算術あふれ/(バッファの場合)あふれ[POSIX]
overwriten,重ね書き[POSIX]
owner ID,所有者 ID[POSIX]
owner,所有者[POSIX]
ownership,所有権[POSIX]
padding,"パディング(遅延かせぎ用の詰め文字)[termcap.5,terminfo.5]"
parameter list,引き数並び(引数並びでなく)[POSIX]
parameter,"パラメータ(通常は)(パラメタでなく)。引き数,仮引き数(argument と対比された場合)"
parent,親[POSIX]
parent directory,親ディレクトリ[POSIX]
parent process,親プロセス[POSIX]
parity,パリティ[POSIX]
parity checking,パリティ検査[POSIX]
parity generation,パリティ生成[POSIX]
path,パス[POSIX]
path prefix,前置パス名[POSIX]
pathname,パス名[POSIX]
pathname component,パス名の構成要素[POSIX]
pathname resolution,パス名の解決[POSIX]
pattern,パターン(パタンでなく)[kana]
peer,通信相手 [general]
pending signal,保留されているシグナル[POSIX]
period,ピリオド(ピリオッドでなく)[kana]
permission,パーミッション(パーミションでなく)[kana]
phrase,句[rcsfile.5]
pipe,パイプ[POSIX]
plus signs,正符号[POSIX]
port,ポート[POSIX]
portability,移植性[POSIX]
portable file name character set,移植可能なファイル名文字集合[POSIX]
portable system,移植性のあるシステム[POSIX]
prefix,"プレフィックス(プレフィクスでなく)[kana],(形容詞として)前に置いた[POSIX]"
primary,プライマリ(find.1 での条件式単位)[find.1]
print,"印字[groff_out.5,termcap.5]"
print out,"印字する,プリントアウトする[general]"
privilege,特権[POSIX]
procedure,手続き[gctags.1]
process,プロセス[POSIX]
process ID,プロセス ID[POSIX]
process group,プロセスグループ[POSIX]
process group ID,プロセスグループ ID[POSIX]
process group leader,プロセスグループリ−ダ[POSIX]
process image,プロセスイメージ[POSIX]
process signal mask,プロセスシグナルマスク[POSIX]
process time,プロセス時間[POSIX]
processor,プロセッサ(プロセッサーでなく)[kana]
profile,プロファイル
quote,"クォート(単一引用符文字のこと)(クオートでなく)[kana,forward.5]"
rate,速度[POSIX]
read,"読取り,読み取り(動詞)[POSIX]"
read lock,読取りロック[POSIX]
read permission,読取り許可[POSIX]
read-only,読取り専用[POSIX]
read-only file system,読取り専用ファイルシステム[POSIX]
read-write,読み書き可[general]
real group ID,実グループ ID[POSIX]
real user ID,実ユーザ ID
receive (a signal),(シグナルを)受信する[POSIX]
regular file,通常ファイル[POSIX]
relative pathname,相対パス名[POSIX]
removal,削除[POSIX]
remove,削除する[POSIX]
repository,"(CVS の)リポジトリ [cvs.1,cvs.5]"
reset,リセットする[POSIX]
resource,"資源[POSIX,general]"
resource recode,(DNSの)リソースレコード[DNS]
resume,再開する[POSIX]
return,"復帰する,戻る,帰る,返す[POSIX]"
return value,戻り値
revision,リビジョン(レビジョンでなく)[kana]
root,root (ユーザ ID 0 のユーザを指す場合)
root directory,ルートディレクトリ[POSIX]
routine,ルーチン[POSIX]
row,行[termcap.5]
saved set-group-ID,退避グループ ID[POSIX]
saved set-user-ID,退避ユーザ ID
scaled point,"スケールドポイント(troff.1 の記述にあわせた)[troff.1,groff_out.5,groff_font.5]"
screen,画面[termcap.5]
search,"検索(通常は),探索(パス名からinodeを)[POSIX]"
search permission,検索許可[POSIX]
send (a signal),(シグナルを)送信する[POSIX]
sensitive,(極秘情報なので)極めて慎重に扱うべき[radius.5]
serial number,通し番号[POSIX]
server,サーバ(サーバーでなく)[kana]
session,セション[POSIX](これは JIS 用語ですね)
session,セッション
